도서명,저자명,출판사명,출간일,분야,정가,쪽수,월
통찰과 역설,천공,마음서재,20200620,자기계발,16800,336,6
"파타고니아, 파도가 칠 때는 서핑을",이본 쉬나드,라이팅하우스,20200430,경제/경영,19800,424,6
달 너머로 달리는 말,김훈,파람북,20200615,소설,14000,272,6
소년이 온다(특별한정판)(양장본 HardCover),한강,창비,20200424,소설,13000,216,6
데미안(리커버 한정판)(초판본)(1919년 오리지널 초판본 패브릭 에디션)(양장본 HardCover),헤르만 헤세,더스토리,20171030,소설,12000,248,6
코로나 사피엔스(양장본 HardCover),최재천,인플루엔셜,20200610,인문,15000,200,6
흔한남매 안 흔한 일기. 2(양장본 HardCover),흔한남매 (원작),아이세움,20200526,어린이(초등),12000,136,6
녹나무의 파수꾼(양장본 HardCover),히가시노 게이고,소미미디어,20200317,소설,17800,556,6
철도원 삼대,황석영,창비,20200605,소설,20000,620,6
좋은 말씀,법정,시공사,20200430,시/에세이,17000,392,6
공간이 만든 공간,유현준,을유문화사,20200501,인문,16500,416,6
A Supplementary Story : You Never Walk Alone(양장본 HardCover),구자선 (그래픽),Big Hit IP,20200630,시/에세이,19900,40,6
지적 대화를 위한 넓고 얕은 지식: 제로 편,채사장,웨일북(whalebooks),20191224,인문,19800,556,6
총 균 쇠,재레드 다이아몬드,문학사상,20051219,역사/문화,28000,751,6
Save ME(양장본 HardCover),이강훈 (그래픽),Big Hit IP,20200630,시/에세이,24900,66,6
데일 카네기 인간관계론,데일 카네기,현대지성,20191007,자기계발,11500,352,6
죽은 자의 집 청소(양장본 HardCover),김완,김영사,20200530,시/에세이,13800,252,6
부자 아빠 가난한 아빠. 1(20주년 특별 기념판)(개정증보판),로버트 기요사키,민음인,20180222,경제/경영,15800,448,6
사람에 대한 예의,권석천,어크로스,20200605,인문,15000,324,6
일 잘하는 사람은 단순하게 말합니다,박소연,더퀘스트,20200518,자기계발,16500,424,6
House Of Cards(양장본 HardCover),박요셉 (그래픽),Big Hit IP,20200630,시/에세이,19900,40,6
RUN(양장본 HardCover),최지욱 (그래픽),Big Hit IP,20200630,시/에세이,22900,44,6
맛있게 살 빠지는 고단백 저탄수화물 다이어트 레시피,미니 박지우,비에이블,20200528,요리,17500,276,6
지쳤거나 좋아하는 게 없거나,글배우,강한별,20190904,시/에세이,13500,248,6
마법천자문. 48: 늘 생각하다! 생각 념,김현수,아울북,20200520,어린이(초등),12000,164,6
현명한 투자자(개정판 4판),벤저민 그레이엄,국일증권경제연구소,20200526,경제/경영,23000,432,6
혼자 사니 좋다,서정희,몽스북,20200518,시/에세이,14900,264,6
당신이 옳다(40만 부 기념 '한 사람' 리커버),정혜신,해냄출판사,20181010,인문,15800,316,6
우리가 빛의 속도로 갈 수 없다면(양장본 HardCover),김초엽,허블,20190624,소설,14000,330,6
사피엔스,유발 하라리,김영사,20151124,인문,22000,636,6
설민석의 책 읽어드립니다,설민석,단꿈아이,20200518,인문,15000,212,6
재무제표 모르면 주식투자 절대로 하지마라(스타강사 사경인 회계사의)(개정판),사경인,베가북스,20200110,경제/경영,19800,360,6
Go Go 카카오프렌즈. 14: 그리스,김미영,아울북,20200520,어린이(초등),12000,176,6
방구석 미술관,조원재,블랙피쉬,20200505,예술/대중문화,16800,344,6
부의 추월차선,엠제이 드마코,토트,20130820,경제/경영,15000,392,6
팩트풀니스(양장본 HardCover),한스 로슬링,김영사,20190310,인문,19800,474,6
푸름아빠 거울육아,최희수,한국경제신문,20200603,가정/육아,16800,380,6
꽃을 보듯 너를 본다(J.H CLASSIC 2)(양장본 HardCover),나태주,지혜,20201130,시/에세이,10000,184,6
페스트(세계문학전집 267),알베르 카뮈,민음사,20110403,소설,13000,508,6
영양의 비밀,프레드 프로벤자,브론스테인,20200610,건강,25800,672,6
타인의 해석,말콤 글래드웰,김영사,20200323,자기계발,18500,472,6
코스모스(보급판),칼 세이건,사이언스북스,20100120,과학,18500,719,6
나에게 주는 최고의 선물 자존감,주디스 벨몬트,미래타임즈,20200610,자기계발,14800,280,6
장군이네 떡집(만복이네 떡집 2)(난 책읽기가 좋아 시리즈)(양장본 HardCover),김리리,비룡소,20200429,어린이(초등),9500,84,6
나는 누구인가,최서원,하이비전,20200608,시/에세이,15000,280,6
해커스 토익 RC 리딩(Reading)(개정판 8판),David Cho,해커스어학연구소,20200302,외국어,18800,800,6
지적 대화를 위한 넓고 얕은 지식. 1,채사장,웨일북(whalebooks),20200205,인문,16000,388,6
돈과 사람을 끌어당기는 부자의 말센스,김주하,위즈덤하우스,20200429,자기계발,15000,276,6
읽기만 하면 내 것이 되는 1페이지 한국사 365,심용환,비에이블,20200617,역사/문화,16500,384,6
당근 유치원(양장본 HardCover),안녕달,창비,20200522,유아(0~7세),13000,48,6
마음을 읽는 아이 오로르,더글라스 케네디,밝은세상,20200228,소설,15000,240,6
봉제인형 살인사건,다니엘 콜,북플라자,20171020,소설,15000,400,6
타이탄의 도구들(리커버 에디션),팀 페리스,토네이도,20200309,자기계발,15000,367,6
나미야 잡화점의 기적(땡큐 에디션)(양장본 HardCover),히가시노 게이고,현대문학,20201219,소설,14800,456,6
마켓컬리 인사이트,김난도,다산북스,20200520,경제/경영,18000,300,6
일을 잘 맡긴다는것(CEO의 서재 23),아사노 스스무,센시오,20200519,경제/경영,16000,228,6
딸에게 보내는 심리학 편지(10만 부 기념 스페셜 에디션),한성희,메이븐,20200128,인문,16000,336,6
설민석의 한국사 대모험. 13(반양장),설민석,아이휴먼,20200323,어린이(초등),12000,200,6
자본과 이데올로기(양장본 HardCover),토마 피케티,문학동네,20200527,정치/사회,38000,1297,6
나의 문화유산답사기 중국편. 3: 실크로드의 오아시스 도시(양장본 HardCover),유홍준,창비,20200615,역사/문화,20000,432,6
한동안 머물다 밖으로 나가고 싶다,에쿠니 가오리,소담출판사,20200603,시/에세이,13800,216,6
설민석의 조선왕조실록,설민석,세계사,20160720,역사/문화,22000,504,6
이야기의 탄생,윌 스토,흐름출판,20200515,인문,16000,336,6
원피스. 96,Eiichiro Oda,대원씨아이,20200603,만화,5000,192,6
디즈니만이 하는 것,로버트 아이거,쌤앤파커스,20200504,경제/경영,19800,416,6
사람은 어떻게 생각하고 배우고 기억하는가,제레드 쿠니 호바스,토네이도,20200320,자기계발,17000,400,6
소원 떡집(만복이네 떡집 3)(난 책읽기가 좋아 시리즈)(양장본 HardCover),김리리,비룡소,20200429,어린이(초등),9500,84,6
사랑한다고 상처를 허락하지 말 것,김달,비에이블,20200417,시/에세이,14500,268,6
디플레 전쟁,홍춘욱,스마트북스,20200424,경제/경영,17500,332,6
이미 어쩔 수 없는 힘듦이 내게 찾아왔다면,글배우,강한별,20200324,시/에세이,13500,216,6
2050 거주불능 지구,데이비드 월러스 웰즈,추수밭,20200422,정치/사회,19800,424,6
"1일 1페이지, 세상에서 가장 짧은 교양 수업 365",데이비드 S. 키더,위즈덤하우스,20191030,인문,16000,392,6
여행의 이유,김영하,문학동네,20190417,시/에세이,13500,216,6
어린이 수수께끼(읽으면서 바로 써먹는)(맛있는 공부 31),한날,파란정원,20200520,어린이(초등),12000,256,6
룬의 아이들 데모닉. 1(양장본 HardCover),전민희,엘릭시르,20200612,소설,15500,472,6
해커스 토익 LC 리스닝(Listening)(개정판 8판),David Cho,해커스어학연구소,20200318,외국어,18800,626,6
이기적 유전자(40주년 기념판),리처드 도킨스,을유문화사,20181020,과학,20000,632,6
아내를 모자로 착각한 남자(개정판)(양장본 HardCover),올리버 색스,알마,20160817,과학,18500,396,6
만복이네 떡집(난 책읽기가 좋아 3단계 54),김리리,비룡소,20100528,어린이(초등),9500,52,6
돌이킬 수 없는 약속,야쿠마루 가쿠,북플라자,20170202,소설,15000,380,6
부의 선택,라이너 지텔만,위북,20200515,자기계발,15000,336,6
선량한 차별주의자,김지혜,창비,20190717,정치/사회,15000,244,6
영어회화 이디엄(미국적인 너무나 미국적인),김아영,사람in,20200103,외국어,15000,336,6
포스트 코로나,임승규,한빛비즈,20200515,경제/경영,18000,360,6
수상한 화장실(북멘토 가치동화 38),박현숙,북멘토,20200327,어린이(초등),11500,204,6
초예측 부의 미래(양장본 HardCover),마루야마 슌이치,웅진지식하우스,20200420,인문,15000,200,6
설민석의 삼국지. 1,설민석,세계사,20190717,인문,22000,440,6
어느 날 공주가 되어버렸다. 4,스푼,캐롯툰,20200703,만화,14000,280,6
신기하게 영어 뇌가 만들어지는 영문법(12만 유튜버 지후쌤의),주지후,파고다북스,20200610,외국어,15000,400,6
진짜 부자 가짜 부자,사경인,더클래스,20200417,경제/경영,17000,344,6
선물주는산타의 주식투자 시크릿,선물주는산타,비즈니스북스,20200416,경제/경영,16000,276,6
플레인 센스,김동현,웨일북(whalebooks),20200601,인문,18500,384,6
부의 인문학,브라운스톤,오픈마인드,20191004,경제/경영,15000,294,6
하쿠바산장 살인사건(양장본 HardCover),히가시노 게이고,알에이치코리아,20200427,소설,15800,376,6
뉴턴의 아틀리에,김상욱,민음사,20200420,인문,19000,440,6
백년운동,정선근,아티잔,20191031,건강,19500,484,6
열두 살에 부자가 된 키라(꿈을 이루게 도와주는 자기경영 동화 1)(양장본 HardCover),보도 섀퍼,을파소,20141023,어린이(초등),13000,245,6
멋진 신세계,올더스 헉슬리,소담출판사,20150612,소설,13800,400,6
내가 죽으면 장례식에 누가 와줄까(너나들이 리커버 에디션),김상현,필름(Feelm),20200116,시/에세이,15000,252,6
모순(양장본 HardCover),양귀자,쓰다,20130401,소설,13000,308,6
에이트(양장본 HardCover),이지성,차이정원,20191021,자기계발,17000,308,6
백반기행(식객 허영만의),허영만,가디언,20200514,여행,17000,352,6
시작의 기술(양장본 HardCover),개리 비숍,웅진지식하우스,20190417,자기계발,16000,227,6
임신 출산 육아 대백과(2019~2020)(개정판),삼성출판사 편집부,삼성출판사,20190701,가정/육아,18500,410,6
아홉 살 마음 사전,박성우,창비,20170310,어린이(초등),11000,168,6
언어의 온도(170만부 기념 에디션),이기주,말글터,20160819,시/에세이,13800,308,6
석세스 에이징,대니얼 J. 레비틴,와이즈베리,20200515,인문,23000,648,6
수박 수영장(양장본 HardCover),안녕달,창비,20150727,유아(0~7세),12000,52,6
나이듦에 관하여,루이즈 애런슨,비잉(Being),20200205,정치/사회,28000,844,6
해커스 토익 스타트 리딩(Reading) RC(개정판 4판),David Cho,해커스어학연구소,20200220,외국어,14900,580,6
아주 작은 습관의 힘,제임스 클리어,비즈니스북스,20190226,자기계발,16000,360,6
이윤기의 그리스 로마 신화(특별합본판)(양장본 HardCover),이윤기,웅진지식하우스,20200501,역사/문화,39800,1200,6
부자의 언어,존 소포릭,윌북,20200325,경제/경영,16800,396,6
못 참는 아이 욱하는 부모,오은영,코리아닷컴,20160515,가정/육아,16800,344,6
추리 천재 엉덩이 탐정. 9: 세 마리 행운 고양이 사건,트롤,아이세움,20200115,어린이(초등),12000,88,6
이상한 과자 가게 전천당. 1(양장본 HardCover),히로시마 레이코,길벗스쿨,20190705,어린이(초등),12000,148,6
뉴타입의 시대,야마구치 슈,인플루엔셜,20200612,경제/경영,16000,328,6
기록의 쓸모,이승희,북스톤,20200521,경제/경영,15000,272,6
"그리스 로마 신화. 17: 페가수스를 길들인 영웅, 벨레로폰테스(만화로 읽는 초등 인문학)(양장본 HardCover",박시연,아울북,20200617,어린이(초등),12000,196,6
12가지 인생의 법칙(30만부 기념 리커버 에디션),조던 B. 피터슨,메이븐,20181030,인문,16800,552,6
체리새우: 비밀글입니다(문학동네청소년 42),황영미,문학동네,20190128,소설,11500,200,6
결정적 한마디가 삶의 철학이 된다,한수운 (엮음),아이템하우스,20200425,역사/문화,19800,496,6
마음의 결,태희,피어오름,20190508,시/에세이,13800,264,6
이상하고 자유로운 할머니가 되고 싶어,무루(박서영),어크로스,20200512,시/에세이,14000,216,6
나를 사랑하는 연습,정영욱,부크럼,20200102,자기계발,14000,266,6
why? 세균과 바이러스(양장본 HardCover),김정욱,예림당,20200410,어린이(초등),12800,164,6
루팡의 딸,요코제키 다이,북플라자,20190925,소설,15000,310,6
데미안(세계문학전집 44),헤르만 헤세,민음사,20090120,소설,8000,240,6
언제나 길은 있다(양장본 HardCover),오프라 윈프리,한국경제신문,20200604,자기계발,16800,208,6
이유가 많으니 그냥이라고 할 수밖에,을냥이,스튜디오오드리,20200423,시/에세이,13500,188,6
지적 대화를 위한 넓고 얕은 지식. 2,채사장,웨일북(whalebooks),20200205,인문,16000,334,6
인소의 법칙. 1(디앤씨웹툰비즈),아현 (만화),디앤씨웹툰비즈,20200617,만화,14000,272,6
"앞으로 3년, 대담한 투자",최윤식,지식노마드,20200511,경제/경영,15000,242,6
저는 주식투자가 처음인데요: 기본편(2020),강병욱,한빛비즈,20200106,경제/경영,16500,424,6
제주에서 혼자 살고 술은 약해요(문학동네시인선 135),이원하,문학동네,20200410,시/에세이,10000,160,6
페인트(창비청소년문학 89),이희영,창비,20190419,소설,12000,206,6
월가의 영웅(전설로 떠나는)(개정판 2판)(양장본 HardCover),피터 린치,국일증권경제연구소,20170417,경제/경영,23000,488,6
날씨가 좋으면 찾아가겠어요(드라마 방영 기념 한정판),이도우,시공사,20200201,소설,13800,432,6
백년 허리,정선근,사이언스북스,20151231,건강,17500,340,6
미움받을 용기,기시미 이치로,인플루엔셜,20141117,인문,14900,336,6
이 한마디가 나를 살렸다,김미경,21세기북스,20200325,자기계발,16000,280,6
정의란 무엇인가(마이클 샌델),마이클 샌델,와이즈베리,20141120,인문,15000,443,6
부동산 상식사전,백영록,길벗,20190130,경제/경영,17500,580,6
알사탕(그림책이 참 좋아 39)(양장본 HardCover),백희나,책읽는곰,20170325,유아(0~7세),12000,48,6
게으르지만 콘텐츠로 돈은 잘 법니다,신태순,나비의활주로,20200608,경제/경영,15000,276,6
영어 회화의 결정적 단어들,서영조,사람in,20200306,외국어,15000,320,6
5년 후 나는 어디에 있을 것인가,이용덕,토네이도,20200615,자기계발,17000,328,6
오래된 비밀,이서윤,이다미디어,20130228,자기계발,14500,336,6
판문점의 협상가 정세현 회고록(양장본 HardCover),정세현,창비,20200605,정치/사회,30000,688,6
사랑은 내 시간을 기꺼이 건네주는 것이다(양장본 HardCover),이기주,황소북스,20200318,시/에세이,14500,192,6
귀멸의 칼날. 18,고토게 코요하루,학산문화사,20200525,만화,5000,192,6
일의 기쁨과 슬픔,장류진,창비,20191025,소설,14000,236,6
우리의 불행은 당연하지 않습니다,김누리,해냄출판사,20200306,정치/사회,16500,260,6
혼돈의 시대 리더의 탄생,도리스 컨스 굿윈,커넥팅,20200226,정치/사회,26800,712,6
당신이 꽃같이 돌아오면 좋겠다,고재욱,웅진지식하우스,20200610,시/에세이,16000,328,6
부의 본능,브라운스톤,토트,20180814,경제/경영,13800,248,6
모든 사람에게 좋은 사람일 필요는 없어,김유은,좋은북스,20190927,시/에세이,13800,286,6
피프티 피플,정세랑,창비,20161121,소설,14000,396,6
"아무튼, 여름(아무튼 시리즈 30)",김신회,제철소,20200529,시/에세이,9900,172,6
자존감 수업,윤홍균,심플라이프,20160901,인문,14000,304,6
싱글맘 부동산 경매로 홀로서기,이선미,지혜로,20200320,경제/경영,16000,308,6
1인 기업을 한다는 것,이치엔 가쓰히코,센시오,20200604,경제/경영,16000,232,6
42가지 마음의 색깔(양장본 HardCover),크리스티나 누녜스 페레이라,레드스톤,20191223,유아(0~7세),14000,92,6
해커스 토익 700+ LC+RC(한 권으로 끝내는),해커스 어학연구소,해커스어학연구소,20200417,외국어,19500,596,6
까면서 보는 해부학 만화(한빛비즈 교양툰 8),압듈라,한빛비즈,20200619,과학,18500,304,6
밍꼬발랄 코믹스. 4,김혜련,겜툰,20200620,어린이(초등),12000,160,6
동물농장(세계문학전집 5),조지 오웰,민음사,20090107,소설,7000,160,6
해커스 토익 스타트 리스닝(Listening) LC(개정판 4판),David Cho,해커스어학연구소,20200309,외국어,14900,572,6
미라클모닝,할 엘로드,한빛비즈,20160222,자기계발,12000,240,6
배움의 발견(교보문고 단독 리커버)(리커버:K),타라 웨스트오버,열린책들,20200105,시/에세이,18000,520,6
경제기사 궁금증 300문 300답(2020),곽해선,혜다,20191225,경제/경영,19800,600,6
잠든 사이 월급 버는 미국 배당주 투자,소수몽키,베가북스,20190104,경제/경영,19000,304,6
플랫다이어리. 3,임현,넥서스BOOKS,20200622,만화,14000,288,6
"코로나 빅뱅, 뒤바뀐 미래",한국경제신문 코로나 특별취재팀,한국경제신문,20200525,경제/경영,16000,288,6
당신의 질문에 전생은 이렇게 대답합니다,박진여,김영사,20200601,시/에세이,14500,276,6
심리학을 만나 행복해졌다,장원청,미디어숲,20200310,자기계발,15800,336,6
김미경의 리부트,김미경,웅진지식하우스,20200701,자기계발,16000,276,7
흔한남매. 5(양장본 HardCover),흔한남매 (원작),아이세움,20200629,어린이(초등),12000,172,7
돈의 속성(100쇄 기념 에디션),김승호,스노우폭스북스,20200615,경제/경영,16800,283,7
더 해빙(The Having)(40만부 기념 리커버 에디션)(양장본 HardCover),이서윤,수오서재,20200301,자기계발,16000,344,7
설민석의 한국사 대모험. 14,설민석,아이휴먼,20200708,어린이(초등),12000,200,7
해커스 토익 기출 보카 TOEIC VOCA(개정판 5판),David Cho,해커스어학연구소,20200305,외국어,12900,566,7
애쓰지 않고 편안하게(스노우볼 에디션),김수현,놀,20200514,시/에세이,15000,296,7
기억. 1(양장본 HardCover),베르나르 베르베르,열린책들,20200530,소설,14800,400,7
부의 대이동,오건영,페이지2북스,20200723,경제/경영,17000,356,7
존리의 부자되기 습관(20만부 기념 리커버 에디션),존 리,지식노마드,20200115,경제/경영,15000,216,7
성숙한 어른이 갖춰야 할 좋은 심리 습관,류쉬안,다연,20200511,자기계발,15000,280,7
보통의 언어들(나를 숨 쉬게 하는)(양장본 HardCover),김이나,위즈덤하우스,20200527,시/에세이,14500,268,7
코로나 이후의 세계,제이슨 솅커,미디어숲,20200530,경제/경영,14800,200,7
내가 원하는 것을 나도 모를 때,전승환,다산초당,20200108,인문,16000,320,7
아몬드(양장본 HardCover),손원평,창비,20170331,소설,12000,263,7
나를 바꾸는 하버드 성공 수업,류웨이위,리드리드출판,20200715,자기계발,15800,368,7
이제부터는 오를 곳만 오른다(양장본 HardCover),김학렬,페이지2북스,20200713,경제/경영,22000,424,7
"시선으로부터,",정세랑,문학동네,20200605,소설,14000,340,7
킵고잉(Keep Going),주언규,21세기북스,20200724,경제/경영,17000,252,7
주식투자 무작정 따라하기(2020)(개정판),윤재수,길벗,20200110,경제/경영,18000,420,7
해커스 토익 RC 리딩(Reading)(개정판 8판),David Cho,해커스어학연구소,20200302,외국어,18800,800,7
죽은 자의 집 청소(양장본 HardCover),김완,김영사,20200530,시/에세이,13800,252,7
사람에 대한 예의,권석천,어크로스,20200605,인문,15000,324,7
"파타고니아, 파도가 칠 때는 서핑을",이본 쉬나드,라이팅하우스,20200430,경제/경영,19800,424,7
통찰과 역설,천공,마음서재,20200620,자기계발,16800,336,7
인생의 태도(양장본 HardCover),웨인 다이어,더퀘스트,20200619,인문,16000,260,7
해커스 토익 LC 리스닝(Listening)(개정판 8판),David Cho,해커스어학연구소,20200318,외국어,18800,626,7
룬샷,사피 바칼,흐름출판,20200427,경제/경영,18000,468,7
1cm 다이빙,태수,피카(FIKA),20200121,시/에세이,13500,248,7
데미안(리커버 한정판)(초판본)(1919년 오리지널 초판본 패브릭 에디션)(양장본 HardCover),헤르만 헤세,더스토리,20171030,소설,12000,248,7
공간이 만든 공간,유현준,을유문화사,20200501,인문,16500,416,7
이상한 과자 가게 전천당. 7(양장본 HardCover),히로시마 레이코,길벗스쿨,20200713,어린이(초등),12000,184,7
달 너머로 달리는 말,김훈,파람북,20200615,소설,14000,272,7
나는 나로 살기로 했다,김수현,마음의숲,20200316,시/에세이,13800,288,7
만남은 지겹고 이별은 지쳤다,색과 체,떠오름,20200623,시/에세이,13800,240,7
코로나 사피엔스(양장본 HardCover),최재천,인플루엔셜,20200610,인문,15000,200,7
일곱 해의 마지막,김연수,문학동네,20200701,소설,13500,248,7
원피스. 96,Eiichiro Oda,대원씨아이,20200603,만화,5000,192,7
총 균 쇠,재레드 다이아몬드,문학사상,20051219,역사/문화,28000,751,7
읽기만 하면 내 것이 되는 1페이지 한국사 365,심용환,비에이블,20200617,역사/문화,16500,384,7
김지은입니다,김지은,봄알람,20200305,정치/사회,17000,384,7
우리가 빛의 속도로 갈 수 없다면(양장본 HardCover),김초엽,허블,20190624,소설,14000,330,7
나에게 주는 최고의 선물 자존감,주디스 벨몬트,미래타임즈,20200610,자기계발,14800,280,7
부자 아빠 가난한 아빠. 1(20주년 특별 기념판)(개정증보판),로버트 기요사키,민음인,20180222,경제/경영,15800,448,7
하버드 상위 1퍼센트의 비밀,정주영,한국경제신문,20181017,자기계발,16000,324,7
녹나무의 파수꾼(양장본 HardCover),히가시노 게이고,소미미디어,20200317,소설,17800,556,7
코스모스(보급판),칼 세이건,사이언스북스,20100120,과학,18500,719,7
해커스 토익 스타트 리딩(Reading) RC(개정판 4판),David Cho,해커스어학연구소,20200220,외국어,14900,580,7
지쳤거나 좋아하는 게 없거나,글배우,강한별,20190904,시/에세이,13500,248,7
지적 대화를 위한 넓고 얕은 지식: 제로 편,채사장,웨일북(whalebooks),20191224,인문,19800,556,7
30개 도시로 읽는 세계사,조 지무쇼,다산북스,20200706,역사/문화,16800,360,7
좀비고등학교 코믹스. 19,유대영,겜툰,20200630,어린이(초등),9800,160,7
데일 카네기 인간관계론,데일 카네기,현대지성,20191007,자기계발,11500,352,7
지리의 힘,팀 마샬,사이,20160810,정치/사회,17000,368,7
사피엔스,유발 하라리,김영사,20151124,인문,22000,636,7
부의 추월차선,엠제이 드마코,토트,20130820,경제/경영,15000,392,7
봉제인형 살인사건,다니엘 콜,북플라자,20171020,소설,15000,400,7
언컨택트,김용섭,퍼블리온,20200420,경제/경영,18000,312,7
해커스 토익 700+ LC+RC(한 권으로 끝내는),해커스 어학연구소,해커스어학연구소,20200417,외국어,19500,596,7
재무제표 모르면 주식투자 절대로 하지마라(스타강사 사경인 회계사의)(개정판),사경인,베가북스,20200110,경제/경영,19800,360,7
오래 준비해온 대답,김영하,복복서가,20200429,시/에세이,16500,300,7
가만히 있어도 괜찮다 말해주길,남궁원,모모북스,20200617,시/에세이,13800,272,7
초집중,니르 이얄,안드로메디안,20200722,자기계발,16800,324,7
장군이네 떡집(만복이네 떡집 2)(난 책읽기가 좋아 시리즈)(양장본 HardCover),김리리,비룡소,20200429,어린이(초등),9500,84,7
소년이 온다(특별한정판)(양장본 HardCover),한강,창비,20200424,소설,13000,216,7
팩트풀니스(양장본 HardCover),한스 로슬링,김영사,20190310,인문,19800,474,7
방구석 미술관,조원재,블랙피쉬,20200505,예술/대중문화,16800,344,7
해커스 토익 스타트 리스닝(Listening) LC(개정판 4판),David Cho,해커스어학연구소,20200309,외국어,14900,572,7
이유가 많으니 그냥이라고 할 수밖에,을냥이,스튜디오오드리,20200423,시/에세이,13500,188,7
어느 날 공주가 되어버렸다. 4,스푼,캐롯툰,20200703,만화,14000,280,7
지적 대화를 위한 넓고 얕은 지식. 1,채사장,웨일북(whalebooks),20200205,인문,16000,388,7
꽃을 보듯 너를 본다(J.H CLASSIC 2)(양장본 HardCover),나태주,지혜,20201130,시/에세이,10000,184,7
나는 왜 네 말이 힘들까,박재연,한빛라이프,20200701,인문,16800,368,7
적당히 가까운 사이(스노볼 에디션),댄싱스네일,허밍버드,20200625,시/에세이,14500,256,7
돈과 사람을 끌어당기는 부자의 말센스,김주하,위즈덤하우스,20200429,자기계발,15000,276,7
현명한 투자자(개정판 4판),벤저민 그레이엄,국일증권경제연구소,20200526,경제/경영,23000,432,7
페스트(세계문학전집 267),알베르 카뮈,민음사,20110403,소설,13000,508,7
일 잘하는 사람은 단순하게 말합니다,박소연,더퀘스트,20200518,자기계발,16500,424,7
Who? Special 도티(who? special 시리즈),김현수,스튜디오다산,20200701,어린이(초등),14000,180,7
당신이 옳다(40만 부 기념 '한 사람' 리커버),정혜신,해냄출판사,20181010,인문,15800,316,7
대한민국 청약지도,정지영,다산북스,20200629,경제/경영,18000,424,7
지금 알고 있는 걸 그때도 알았더라면,류시화 (엮음),열림원,20141203,시/에세이,9000,136,7
나는 말하듯이 쓴다,강원국,위즈덤하우스,20200618,인문,16000,380,7
타이탄의 도구들(리커버 에디션),팀 페리스,토네이도,20200309,자기계발,15000,367,7
나미야 잡화점의 기적(땡큐 에디션)(양장본 HardCover),히가시노 게이고,현대문학,20201219,소설,14800,456,7
소설 보다: 여름 2020,강화길,문학과지성사,20200617,소설,3500,162,7
흔한남매 안 흔한 일기. 2(양장본 HardCover),흔한남매 (원작),아이세움,20200526,어린이(초등),12000,136,7
시장을 움직이는 손,로버트 그리필드,아이템하우스,20200625,경제/경영,16800,364,7
돌이킬 수 없는 약속,야쿠마루 가쿠,북플라자,20170202,소설,15000,380,7
철도원 삼대,황석영,창비,20200605,소설,20000,620,7
기분이 태도가 되지 않게,레몬심리,갤리온,20200630,자기계발,14000,196,7
"엄마, 주식 사주세요(리커버 에디션)(양장본 HardCover)",존 리,한국경제신문,20200528,경제/경영,15000,231,7
푸름아빠 거울육아,최희수,한국경제신문,20200603,가정/육아,16800,380,7
N잡하는 허대리의 월급 독립 스쿨(돈 버는 재미를 잃어버린 직장인을 위한),N잡하는 허대리,토네이도,20200710,경제/경영,16800,300,7
부의 인문학,브라운스톤,오픈마인드,20191004,경제/경영,15000,294,7
어린이 수수께끼(읽으면서 바로 써먹는)(맛있는 공부 31),한날,파란정원,20200520,어린이(초등),12000,256,7
코로나 투자 전쟁,정채진,페이지2북스,20200525,경제/경영,16800,312,7
이미 어쩔 수 없는 힘듦이 내게 찾아왔다면,글배우,강한별,20200324,시/에세이,13500,216,7
설민석의 조선왕조실록,설민석,세계사,20160720,역사/문화,22000,504,7
멋진 신세계,올더스 헉슬리,소담출판사,20150612,소설,13800,400,7
Go Go 카카오프렌즈. 15: 브라질,김미영,아울북,20200722,어린이(초등),12000,176,7
수익 내는 주식 매매 타이밍,강창권,길벗,20200701,경제/경영,18000,312,7
열두 살에 부자가 된 키라(꿈을 이루게 도와주는 자기경영 동화 1)(양장본 HardCover),보도 섀퍼,을파소,20141023,어린이(초등),13000,245,7
소원 떡집(만복이네 떡집 3)(난 책읽기가 좋아 시리즈)(양장본 HardCover),김리리,비룡소,20200429,어린이(초등),9500,84,7
까면서 보는 해부학 만화(한빛비즈 교양툰 8),압듈라,한빛비즈,20200619,과학,18500,304,7
수박 수영장(양장본 HardCover),안녕달,창비,20150727,유아(0~7세),12000,52,7
해커스 OPIc 오픽 Advanced 공략(2주 만에 끝내는)(개정판 2판),해커스 오픽연구소,해커스,20191202,외국어,15900,321,7
좋은 말씀,법정,시공사,20200430,시/에세이,17000,392,7
이기적 유전자(40주년 기념판),리처드 도킨스,을유문화사,20181020,과학,20000,632,7
루팡의 딸,요코제키 다이,북플라자,20190925,소설,15000,310,7
마음을 읽는 아이 오로르,더글라스 케네디,밝은세상,20200228,소설,15000,240,7
마법천자문. 48: 늘 생각하다! 생각 념,김현수,아울북,20200520,어린이(초등),12000,164,7
딸에게 보내는 심리학 편지(10만 부 기념 스페셜 에디션),한성희,메이븐,20200128,인문,16000,336,7
월가의 영웅(전설로 떠나는)(개정판 2판)(양장본 HardCover),피터 린치,국일증권경제연구소,20170417,경제/경영,23000,488,7
말하기를 말하기,김하나,콜라주,20200630,시/에세이,13000,220,7
만복이네 떡집(난 책읽기가 좋아 3단계 54),김리리,비룡소,20100528,어린이(초등),9500,52,7
타인의 해석,말콤 글래드웰,김영사,20200323,자기계발,18500,472,7
절대수익 투자법칙,김동주(김단테),이레미디어,20200720,경제/경영,17500,280,7
