도서명,저자명,출판사명,출간일,분야,정가,쪽수,월
우리가 간신히 희망할 수 있는 것(양장본 HardCover),김영민,사회평론,20191125,인문,15000,276,12
억만장자 시크릿,라파엘 배지아그,토네이도,20191202,경제/경영,17000,344,12
감사하면 달라지는 것들(겨울 에디션),제니스 캐플런,위너스북,20161125,자기계발,15000,398,12
인간의 흑역사,톰 필립스,윌북,20191010,역사/문화,14800,276,12
알사탕(그림책이 참 좋아 39)(양장본 HardCover),백희나,책읽는곰,20170325,유아(0~7세),12000,48,12
한 줄 정리의 힘,아사다 스구루,센시오,20191216,자기계발,15000,216,12
나는 나무에게 인생을 배웠다,우종영,메이븐,20190927,인문,16000,300,12
기적의 말하기 영단어 1000(무료 MP3 파일),이시원,시원스쿨닷컴,20190212,외국어,9000,348,12
디즈니 겨울왕국2: 마법의 숲(애니메이션 오리지널 노블)(양장본 HardCover),수잔 프랜시스 (각색),대원앤북,20191122,소설,13000,216,12
하마터면 열심히 살 뻔했다,하완,웅진지식하우스,20180423,시/에세이,15000,288,12
자존감 수업,윤홍균,심플라이프,20160901,인문,14000,304,12
디커플링(양장본 HardCover),탈레스 S. 테이셰이라,인플루엔셜,20190930,경제/경영,24800,496,12
모스크바의 신사(양장본 HardCover),에이모 토울스,현대문학,20180622,소설,18000,723,12
너와 함께라면 인생도 여행이다(겨울 에디션)(양장본 HardCover),나태주,열림원,20191212,시/에세이,13500,352,12
마법천자문. 46: 헷갈려라! 미혹할 미,김현수,아울북,20190925,어린이(초등),12000,1,12
한국이 열광할 세계 트렌드(2020),KOTRA,알키,20191010,경제/경영,18000,380,12
징비록,류성룡,홍익출판사,20150217,역사/문화,13800,372,12
단테의 신곡(명화로 보는),단테 알리기에리,미래타임즈,20181220,역사/문화,19800,506,12
조지 길더 구글의 종말,조지 길더,청림출판,20191216,경제/경영,20000,504,12
잠이 오는 이야기,유희진,책소유,20191130,유아(0~7세),14000,40,12
개인주의자 선언,문유석,문학동네,20150923,인문,13500,280,12
타이탄의 도구들(리커버 에디션),팀 페리스,토네이도,20200309,자기계발,15000,367,12
"곰돌이 푸, 행복한 일은 매일 있어",곰돌이 푸 (원작),알에이치코리아,20180312,시/에세이,12000,160,12
한국을 빛낸 100명의 위인들(설민석 쌤과 함께 부르는)(사운드북),설민석,아이휴먼,20171201,유아(0~7세),16000,22,12
당신은 뇌를 고칠 수 있다,톰 오브라이언,브론스테인,20190821,건강,19800,452,12
러브 팩추얼리,로라 무차,비잉(Being),20191127,인문,22000,584,12
인간 본성의 법칙(양장본 HardCover),로버트 그린,위즈덤하우스,20190729,인문,32000,920,12
연애 백문백답(전2권),유민지,우리사이플래닛,20190220,시/에세이,13000,176,12
미움받을 용기,기시미 이치로,인플루엔셜,20141117,인문,14900,336,12
날씨가 좋으면 찾아가겠어요,이도우,시공사,20180628,소설,13800,432,12
방구석 미술관,조원재,블랙피쉬,20200505,예술/대중문화,16800,344,12
나를 아프게 하지 않는다,전미경,지와인,20191205,인문,14800,268,12
강남에 집 사고 싶어요,오스틀로이드,진서원,20191216,경제/경영,17000,392,12
해커스 보카(Hackers Vocabulary)(개정판 2판),David Cho,해커스어학연구소,20150701,외국어,16900,366,12
혼자일 때도 괜찮은 사람(리커버 블루밍 에디션),권미선,허밍버드,20191004,시/에세이,13800,240,12
해커스 토익 700+ LC+RC(한 권으로 끝내는),해커스 어학연구소,해커스어학연구소,20200417,외국어,19500,596,12
포노 사피엔스,최재붕,쌤앤파커스,20190312,경제/경영,16800,336,12
예루살렘의 아이히만(한길그레이트북스 81)(양장본 HardCover),한나 아렌트,한길사,20061010,인문,22000,418,12
부동산 상식사전,백영록,길벗,20190130,경제/경영,17500,580,12
돈의 감각,이명로(상승미소),비즈니스북스,20190826,경제/경영,16800,328,12
세상에서 제일 재밌는 종이접기(세상에서 제일 시리즈),네모아저씨 이원표,슬로래빗,20180824,가정/육아,14000,252,12
2020 부의 지각변동,박종훈,21세기북스,20190705,경제/경영,17000,260,12
왜 나는 너를 사랑하는가(개정판)(양장본 HardCover),알랭 드 보통,청미래,20130115,소설,12000,278,12
여호와 삼마 에스겔 성전(구속사 시리즈 11(상))(양장본 HardCover),박윤식,휘선,20191217,종교,20000,464,12
임신 출산 육아 대백과(2019~2020)(개정판),삼성출판사 편집부,삼성출판사,20190701,가정/육아,18500,410,12
군주론(더클래식 서양고전 1),니콜로 마키아벨리,더클래식,20181031,인문,8800,200,12
"스무살, 반야심경에 미치다",도올 김용옥,통나무,20190725,인문,15000,248,12
한 권으로 끝내는 종이접기(개정증보판)(길벗스쿨 놀이책),주부의벗사,길벗스쿨,20191209,유아(0~7세),12800,252,12
정리하는 뇌,대니얼 J. 레비틴,와이즈베리,20150622,인문,22000,248,12
나를 돌보지 않는 나에게(양장본 HardCover),정여울,김영사,20191023,시/에세이,13800,248,12
심리학이 이렇게 쓸모 있을 줄이야,류쉬안,다연,20190325,자기계발,13000,280,12
컬러의 힘,캐런 할러,윌북,20191220,예술/대중문화,14800,284,12
지적 대화를 위한 넓고 얕은 지식: 현실너머 편,채사장,한빛비즈,20150204,인문,16000,376,12
